session_frequency,session_duration,messages_sent,days_since_last,start_emotion,end_emotion,churn
2,6.533955179743318,5,12.13535892092569,1,1,1
1,8.170355696344634,9,5.504269973817571,1,1,1
0,6.00292570962758,2,2.296634189139521,2,2,1
0,4.652686256793617,2,2.6831314405027253,1,1,1
3,8.888520093640757,1,5.870169162187531,1,1,1
2,3.13036697730669,6,2.0,1,1,1
0,4.665589231047349,5,10.745539495821145,2,2,1
0,7.785568756453977,1,2.0,1,1,1
1,9.532914493075124,5,14.0,2,2,1
1,6.96136252844079,4,2.0,1,1,1
1,6.49977511632766,1,6.77613704885383,0,1,1
0,5.418269659618651,2,2.0,3,3,1
1,7.096142316098522,6,2.8231445298278866,3,3,1
1,6.258735342021625,6,4.975502114796479,2,2,1
2,4.490937291970915,3,2.0,0,1,1
1,5.382012463259025,5,2.9285857991280384,1,1,1
0,4.265108006638808,6,2.0,3,3,1
3,6.027231228761654,1,3.4482027994069435,1,1,1
0,6.323678946085203,6,3.511711996198817,3,3,1
1,9.26876639729553,5,7.690975339832834,2,2,1
0,4.805205748618757,8,2.0,3,3,1
1,5.638446490393026,7,2.0,2,2,1
1,8.518362643026409,5,2.5699049270952945,2,2,1
1,9.610178700915782,3,10.924895670697836,1,1,1
1,6.94942195479733,1,9.664410112760336,2,2,1
0,5.492873657103596,6,4.104822184650773,3,3,1
4,5.053964665458092,3,10.980947419851027,0,1,1
0,2.313866370279429,1,8.18259656672969,1,1,1
0,4.1444634018085935,5,2.0,1,1,1
1,6.203124847007215,2,2.0,2,2,1
0,5.6380282679713565,6,2.0,1,1,1
1,7.246815947990055,2,2.0,4,4,1
0,5.609594426341664,4,4.873822307590869,2,2,1
1,4.54788540672558,2,4.3961684327402475,4,4,1
1,6.6826885186906475,3,4.561959006121111,3,3,1
2,11.01053049094693,2,2.0,1,1,1
0,5.365301665206945,3,7.847787211678986,1,1,1
4,6.277775042690753,1,2.842503945577068,3,3,1
1,7.693851162425361,5,3.1975763578044907,2,2,1
2,4.856763216861467,1,14.0,0,4,1
0,8.545515073270765,5,2.0,4,4,1
1,2.8419197777641423,4,2.5055152419890603,2,2,1
3,5.184545965462763,4,5.64221220072579,1,1,1
0,5.377558204982894,2,10.618556539293365,2,2,1
3,6.302315490507216,5,2.0,3,3,1
1,2.057037400020169,3,6.640991611895468,1,1,1
1,8.70547978932219,5,12.522314728059037,1,1,1
0,6.828435169901669,2,2.748911841843043,1,1,1
0,8.245662890998256,8,2.0,3,3,1
1,9.226071474927743,7,5.6619387603876925,3,3,1
2,4.518872443325885,6,2.0,2,2,1
2,1.0112919985544053,9,2.4248939693890352,2,2,1
0,8.292732150593663,4,11.36092807982126,1,1,1
0,5.427234659653226,4,4.462047761439628,2,2,1
0,3.7336630082558786,5,2.0,4,4,1
4,7.15259930608102,9,2.0001311143280076,2,2,1
4,10.92711386426452,2,4.934440052922213,4,4,1
0,5.782187009723336,1,3.284053471221036,3,3,1
0,7.902232614604637,3,5.399040750709129,1,1,1
2,4.024994413061063,5,7.1657018532036485,3,3,1
0,2.6264844691008937,4,3.275550455417366,1,1,1
1,7.827880938645983,3,14.0,2,2,1
0,7.092146343616536,4,12.306373036464436,2,2,1
0,5.068594330681851,1,2.0,3,3,1
2,9.412438616050789,2,2.0,1,1,1
2,2.4710220606861917,2,2.0,3,3,1
2,3.539939848155961,5,2.0,4,4,1
1,4.914264810494926,3,2.0,1,1,1
0,5.28720598535879,10,2.7653667205393133,3,3,1
0,8.930709415057235,4,2.0,1,1,1
2,6.0983958756215255,4,2.0,1,1,1
0,5.614092020800466,4,2.0,4,4,1
1,3.4599864644182263,4,2.0,1,1,1
0,8.173267083683061,4,3.2840475228133075,2,2,1
2,3.7267182330655237,4,2.0308499065607006,2,2,1
2,3.4507774172796526,6,13.701361223564266,1,1,1
1,5.199483718105655,1,2.0,2,2,1
2,6.326388049310334,5,13.02083904881831,0,1,1
0,4.559714799679385,2,2.0,1,1,1
1,7.414035005915212,6,4.82763265080182,4,4,1
0,5.434047446038501,6,2.0,4,4,1
0,8.10553787922317,2,8.766704421945612,2,2,1
2,7.010221224166148,5,2.0,1,1,1
1,9.582958680728273,4,14.0,2,2,1
1,5.115542148245022,2,2.0,3,3,1
1,7.6879420488111885,5,2.0,1,1,1
1,2.4263775563726346,4,3.1198290774907598,1,1,1
1,11.783317386151786,4,7.054121609301374,3,3,1
