session_frequency,session_duration,messages_sent,days_since_last,start_emotion,end_emotion,churn
5,19.69175156512166,11,1.0666491434278493,0,4,0
4,16.0474812386414,12,0.767910451043243,1,1,0
4,20.2515870301849,17,0.18800537132630007,3,3,0
4,15.395892314874864,15,0.09523393950568708,0,4,0
2,17.935567243278207,15,1.1565480468504177,4,4,0
5,9.45234821472041,5,0.851933616674479,2,2,0
2,6.174394573903848,8,1.6208194661902093,0,4,0
5,12.617610794229723,8,2.4890926949468852,2,2,0
3,7.87103064626542,13,0.0816581840363075,2,2,0
5,4.415091195758457,6,1.3712197538801558,0,4,0
7,16.50873840870775,7,3.9605958984278598,0,4,0
1,6.153192993316782,15,1.2145503873720889,2,2,1
4,19.74747827640367,8,1.4731209381302217,2,2,0
3,22.205927834029602,10,1.3341474950593974,1,1,0
3,7.785051356187719,10,0.9879138030566295,0,4,0
0,16.4433280827298,5,0.23333624363530964,4,4,0
5,24.289670726807216,14,0.27016511167280993,2,2,0
4,12.640102811013138,10,0.3946817485314786,2,2,0
6,18.054232279379146,10,3.1458710204858056,2,2,0
7,26.96451754032184,20,0.644084149604557,1,1,0
1,6.614255612502827,14,5.917789633719022,4,4,1
5,9.903579424950651,17,3.3232544429471838,0,1,0
2,17.820455496907,10,2.3074510121950054,3,3,0
6,25.86219310779414,12,2.5487449683487924,1,1,0
6,11.443915832760156,15,0.09760796675437107,4,4,0
4,27.178659297209446,14,1.6804628192663886,3,3,0
3,15.65978073698123,9,5.662365751045533,2,2,0
5,5.16372168099595,16,0.07979106304039389,4,4,0
5,22.95240813036429,7,0.6878461020959853,4,4,0
2,12.681880726950006,12,0.1057712115885294,0,1,0
1,17.242626392960197,4,1.686738538210243,0,4,1
3,6.704151562333644,15,0.2470503918304463,2,2,0
6,11.233742076704793,7,1.3049709976798938,4,4,0
4,7.515640383796609,13,2.5455702184287823,1,1,0
2,6.9850321864464515,20,0.3593027336976881,0,1,0
2,15.490197989767088,15,2.815971348279923,2,2,0
3,17.833887344077723,6,0.12418588018013323,0,1,0
4,12.266209259939732,12,0.324154478248772,2,2,0
4,7.814231050943951,12,0.6573147218369707,1,1,0
4,8.619471631468855,9,3.1802420553215516,2,2,0
9,16.858148190165203,11,3.7960659914189048,4,4,0
1,15.553452852734427,12,0.49789683877637175,1,1,0
2,16.94037336643192,16,0.20137363224273416,0,4,0
2,22.792026113030843,6,3.767141481697752,2,2,0
4,17.87674773590603,14,2.0960328687467475,1,1,0
6,17.045146990062477,17,0.34360717747814035,3,3,0
3,26.843582325973752,9,1.6316096890488851,1,1,0
7,13.626077820999663,10,4.117262105842951,3,3,0
4,26.918376903691012,9,0.1440985222354175,4,4,0
6,22.119418450780337,12,0.17486926105743028,1,1,0
8,13.510372955215033,9,0.6393302709672678,4,4,0
5,19.02419420585742,10,2.1126137853124254,0,4,0
7,13.923995695908257,11,0.39205047226710776,2,2,0
7,7.8180229542743,13,3.3896343820478325,0,4,1
7,14.959803724391941,14,2.7760331008335353,0,1,0
2,7.664368351707442,7,1.6465338441365363,2,2,0
3,16.1648237587246,17,0.24674961586357747,0,4,0
2,19.00239919596026,8,8.882675052697174,0,4,0
3,13.915467526027692,19,1.3468209915143772,0,4,0
2,16.154787255277242,10,1.2032269649064107,2,2,0
7,16.071958241434427,17,10.83829593292107,0,1,0
2,19.221747936458,12,3.9882644222792347,1,1,0
3,15.44737760932096,11,1.2189644847606804,2,2,0
2,13.426368462307398,12,1.0853309696716134,1,1,0
4,18.99470197699194,18,0.20165136618092128,0,4,0
6,15.792790928646678,10,5.2212594007050095,2,2,0
1,4.322215857338353,14,3.7129140568287466,2,2,1
1,13.2485673030299,16,0.7421345885335889,2,2,0
